hustobc_class,source_group,identity_official_code,identity_official_reading_jtz,identity_official_status,top1_official_code,top1_similarity,top1_official_reading_jtz,top1_official_status,top1_has_jitilin_entry,is_verified_correction
L/1038,L,,,,U613BA,0.6731,,undeciphered,false,false
L/1039,L,,,,U613BA,0.6909,,undeciphered,false,false
L/104,L,,,,U60A8D,0.6681,宝,deciphered,true,false
L/1040,L,,,,U613BA,0.6922,,undeciphered,false,false
L/1041,L,,,,U613BA,0.6803,,undeciphered,false,false
L/1042,L,,,,U616A6,0.6915,马,deciphered,false,false
L/1043,L,,,,U616A6,0.6911,马,deciphered,false,false
L/1044,L,,,,U60EAB,0.6868,黃尹,deciphered,false,false
L/1045,L,,,,U605AB,0.6139,,undeciphered,false,false
L/1046,L,,,,U61A1B,0.7009,,undeciphered,true,false
L/1047,L,,,,U61063,0.6831,鬯,deciphered,true,false
L/1048,L,,,,U60B15,0.7057,圭,deciphered,true,false
L/1049,L,,,,U60467,0.6583,,undeciphered,true,false
L/105,L,,,,U60416,0.6805,,undeciphered,true,false
L/1050,L,,,,U60F54,0.6537,,undeciphered,false,false
L/1051,L,,,,U60ADD,0.6603,,undeciphered,true,false
L/1052,L,,,,U605A0,0.6189,祼,deciphered,true,false
L/1053,L,,,,U61927,0.6712,,undeciphered,true,false
L/1054,L,,,,U60F73,0.6821,奠,deciphered,true,false
L/1055,L,,,,U61839,0.7171,残疑字,deciphered,false,false
L/1056,L,,,,U615D8,0.6241,二祀,deciphered,false,false
L/1057,L,,,,U61577,0.587,高祖亥,deciphered,false,false
L/1058,L,,,,U60B15,0.5893,圭,deciphered,true,false
L/1059,L,,,,U60A54,0.6334,,undeciphered,false,false
L/106,L,,,,U61925,0.6611,,undeciphered,true,false
L/1060,L,,,,U615A0,0.5997,五百,deciphered,false,false
L/1061,L,,,,U60E02,0.7164,,undeciphered,true,false
L/1062,L,,,,U613A2,0.7635,且（祖）,deciphered,true,false
L/1063,L,,,,U60E02,0.7154,,undeciphered,true,false
L/1064,L,,,,U613A2,0.7657,且（祖）,deciphered,true,false
L/1065,L,,,,U60F73,0.6848,奠,deciphered,true,false
L/1066,L,,,,U60C79,0.6945,醜,deciphered,true,false
L/1067,L,,,,U601A2,0.6816,,undeciphered,false,false
L/1068,L,,,,U60A54,0.6297,,undeciphered,false,false
L/1069,L,,,,U605D1,0.6236,,undeciphered,true,false
L/107,L,,,,U61925,0.6456,,undeciphered,true,false
L/1070,L,,,,U607C5,0.686,丧,deciphered,true,false
L/1071,L,,,,U60C79,0.6867,醜,deciphered,true,false
L/1072,L,,,,U60C3C,0.6623,稼,deciphered,true,false
L/1073,L,,,,U603F3,0.5913,,undeciphered,false,false
L/1074,L,,,,U60297,0.6746,,undeciphered,true,false
L/1075,L,,,,U60C3C,0.7026,稼,deciphered,true,false
L/1076,L,,,,U6102D,0.6193,彭,deciphered,true,false
L/1077,L,,,,U60FA0,0.6875,甗,deciphered,true,false
L/1078,L,,,,U60FFB,0.6834,登,deciphered,false,false
L/1079,L,,,,U61104,0.6734,彔,deciphered,false,false
L/108,L,,,,U60D59,0.6268,,undeciphered,true,false
L/1080,L,,,,U60DDE,0.7058,,undeciphered,false,false
L/1081,L,,,,U6136F,0.7214,,undeciphered,true,false
L/1082,L,,,,U61761,0.699,一鬯,deciphered,false,false
L/1083,L,,,,U605BA,0.6781,帝,deciphered,true,false
L/1084,L,,,,U60DDE,0.6871,,undeciphered,false,false
L/1085,L,,,,U61AFB,0.5937,利,deciphered,true,false
L/1086,L,,,,U6102D,0.575,彭,deciphered,true,false
L/1087,L,,,,U60320,0.7127,,undeciphered,true,false
L/1088,L,,,,U60AFB,0.6602,,undeciphered,true,false
L/1089,L,,,,U60E9E,0.6083,,undeciphered,true,false
L/109,L,,,,U609E7,0.6403,庞,deciphered,true,false
L/1090,L,,,,U60DE2,0.6342,,undeciphered,true,false
L/1091,L,,,,U60F40,0.67,,undeciphered,false,false
L/1092,L,,,,U60A2B,0.6413,,undeciphered,true,false
L/1093,L,,,,U613BA,0.6711,,undeciphered,false,false
L/1094,L,,,,U613BA,0.6712,,undeciphered,false,false
L/1095,L,,,,U61348,0.7296,,undeciphered,true,false
L/1096,L,,,,U6042B,0.6543,台,deciphered,true,false
L/1097,L,,,,U61B60,0.5841,,undeciphered,true,false
L/1098,L,,,,U60F1F,0.6451,蛊,deciphered,false,false
L/1099,L,,,,U60FBE,0.6677,残疑字,deciphered,false,false
L/11,L,,,,U609CA,0.6465,,undeciphered,true,false
L/110,L,,,,U61925,0.6675,,undeciphered,true,false
L/1100,L,,,,U60FB1,0.723,员（圆）,deciphered,true,false
L/1101,L,,,,U60D55,0.6889,遠,deciphered,true,false
L/1102,L,,,,U61083,0.6632,䍜（罩）,deciphered,true,false
L/1103,L,,,,U61577,0.5791,高祖亥,deciphered,false,false
L/1104,L,,,,U60FE6,0.5873,㿝/皀,deciphered,true,false
L/1105,L,,,,U612CA,0.7115,,undeciphered,true,false
L/1106,L,,,,U611E0,0.6388,,undeciphered,true,false
L/1107,L,,,,U60FA3,0.6836,贞,deciphered,true,false
L/1108,L,,,,U60FBE,0.6525,残疑字,deciphered,false,false
L/1109,L,,,,U61104,0.69,彔,deciphered,false,false
L/111,L,,,,U61AF7,0.6638,,undeciphered,true,false
L/1110,L,,,,U60A2A,0.6628,,undeciphered,true,false
L/1111,L,,,,U6136F,0.6881,,undeciphered,true,false
L/1112,L,,,,U6136F,0.6821,,undeciphered,true,false
L/1113,L,,,,U612CA,0.6822,,undeciphered,true,false
L/1114,L,,,,U60FCB,0.6818,,undeciphered,false,false
L/1115,L,,,,U61A8E,0.7068,,undeciphered,false,false
L/1116,L,,,,U612CA,0.6907,,undeciphered,true,false
L/1117,L,,,,U602A2,0.6528,,undeciphered,true,false
L/1118,L,,,,U607AB,0.6567,春,deciphered,true,false
L/1119,L,,,,U60F40,0.661,,undeciphered,false,false
L/112,L,,,,U609C6,0.6516,,undeciphered,true,false
L/1120,L,,,,U60B72,0.6638,,undeciphered,true,false
L/1121,L,,,,U6042B,0.6484,台,deciphered,true,false
L/1122,L,,,,U60F8C,0.6268,,undeciphered,true,false
L/1123,L,,,,U60467,0.6715,,undeciphered,true,false
L/1124,L,,,,U60ADD,0.6886,,undeciphered,true,false
L/1125,L,,,,U60F41,0.6583,,undeciphered,true,false
L/1126,L,,,,U61063,0.6796,鬯,deciphered,true,false
L/1127,L,,,,U619A9,0.6245,,undeciphered,true,false
L/1128,L,,,,U61348,0.6335,,undeciphered,true,false
L/1129,L,,,,U6196A,0.6508,壺,deciphered,false,false
L/113,L,,,,U60D21,0.6311,疑,deciphered,unknown-if-fetch-failed,false
L/1130,L,,,,U60ACB,0.681,,undeciphered,true,false
L/1131,L,,,,U61228,0.6619,,undeciphered,false,false
L/1132,L,,,,U60F73,0.671,奠,deciphered,true,false
L/1133,L,,,,U60955,0.5814,,undeciphered,true,false
L/1134,L,,,,U60439,0.7148,往,deciphered,true,false
L/1135,L,,,,U612CA,0.7174,,undeciphered,true,false
L/1136,L,,,,U6065A,0.7157,,undeciphered,false,false
L/1137,L,,,,U603BE,0.674,祫,deciphered,false,false
L/1138,L,,,,U61834,0.6836,残疑字,deciphered,false,false
L/1139,L,,,,U6196A,0.6129,壺,deciphered,false,false
L/114,L,,,,U609E7,0.6382,庞,deciphered,true,false
L/1140,L,,,,U61AF7,0.6515,,undeciphered,true,false
L/1141,L,,,,U60DAA,0.6157,,undeciphered,true,false
L/1142,L,,,,U60AE1,0.6446,,undeciphered,false,false
L/1143,L,,,,U61488,0.655,子2,deciphered,false,false
L/1144,L,,,,U6027C,0.6771,,undeciphered,true,false
L/1145,L,,,,U60E78,0.6471,,undeciphered,true,false
L/1146,L,,,,U6027C,0.6878,,undeciphered,true,false
L/1147,L,,,,U61166,0.604,曹,deciphered,true,false
L/1148,L,,,,U60F1F,0.7018,蛊,deciphered,false,false
L/1149,L,,,,U61009,0.6967,登,deciphered,true,false
L/115,L,,,,U61925,0.6495,,undeciphered,true,false
L/1150,L,,,,U616A6,0.6754,马,deciphered,false,false
L/1151,L,,,,U60C79,0.6871,醜,deciphered,true,false
L/1152,L,,,,U60FDE,0.7302,,undeciphered,true,false
L/1153,L,,,,U612CA,0.656,,undeciphered,true,false
L/1154,L,,,,U60FB6,0.7447,败,deciphered,true,false
L/1155,L,,,,U60FDE,0.7281,,undeciphered,true,false
L/1156,L,,,,U61686,0.672,,undeciphered,false,false
L/1157,L,,,,U60361,0.7046,臧,deciphered,true,false
L/1158,L,,,,U60C40,0.6805,,undeciphered,true,false
L/1159,L,,,,U6188F,0.6869,興,deciphered,true,false
L/116,L,,,,U60D6E,0.5996,,undeciphered,true,false
L/1160,L,,,,U61AF7,0.6479,,undeciphered,true,false
L/1161,L,,,,U60F46,0.5882,,undeciphered,true,false
L/1162,L,,,,U61B63,0.7743,周,deciphered,true,false
L/1163,L,,,,U61035,0.6398,,undeciphered,false,false
L/1164,L,,,,U61AA1,0.6076,蛛,deciphered,false,false
L/1165,L,,,,U6194C,0.642,,undeciphered,false,false
L/1166,L,,,,U60C40,0.7065,,undeciphered,true,false
L/1167,L,,,,U60F1F,0.7454,蛊,deciphered,false,false
L/1168,L,,,,U60782,0.7255,,undeciphered,false,false
L/1169,L,,,,U60F40,0.6844,,undeciphered,false,false
L/117,L,,,,U60D21,0.634,疑,deciphered,unknown-if-fetch-failed,false
L/1170,L,,,,U60AB7,0.6749,庇,deciphered,true,false
L/1171,L,,,,U60DAA,0.6335,,undeciphered,true,false
L/1172,L,,,,U61B60,0.6021,,undeciphered,true,false
L/1173,L,,,,U60467,0.6743,,undeciphered,true,false
L/1174,L,,,,U60759,0.6687,莫（暮）,deciphered,false,false
L/1175,L,,,,U61228,0.6401,,undeciphered,false,false
L/1176,L,,,,U6196A,0.6422,壺,deciphered,false,false
L/1177,L,,,,U61686,0.6489,,undeciphered,false,false
L/1178,L,,,,U61577,0.5777,高祖亥,deciphered,false,false
L/1179,L,,,,U6172F,0.6847,卅牛,deciphered,false,false
L/118,L,,,,U61AF2,0.647,置,deciphered,false,false
L/1180,L,,,,U60369,0.6594,残疑字,deciphered,false,false
L/1181,L,,,,U6172F,0.6944,卅牛,deciphered,false,false
L/1182,L,,,,U60DAA,0.6222,,undeciphered,true,false
L/1183,L,,,,U60E82,0.6357,,undeciphered,false,false
L/1184,L,,,,U602AC,0.6568,,undeciphered,true,false
L/1185,L,,,,U612E5,0.6601,,undeciphered,false,false
L/1186,L,,,,U60139,0.6008,并,deciphered,true,false
L/1187,L,,,,U612CA,0.6625,,undeciphered,true,false
L/1188,L,,,,U61B63,0.7661,周,deciphered,true,false
L/1189,L,,,,U607AB,0.668,春,deciphered,true,false
L/119,L,,,,U61362,0.6355,,undeciphered,false,false
L/1190,L,,,,U61764,0.669,十鬯,deciphered,false,false
L/1191,L,,,,U60F86,0.6367,壺,deciphered,true,false
L/1192,L,,,,U60ADB,0.7734,,undeciphered,true,false
L/1193,L,,,,U6093A,0.6754,陷,deciphered,true,false
L/1194,L,,,,U60F1F,0.633,蛊,deciphered,false,false
L/1195,L,,,,U60F54,0.6612,,undeciphered,false,false
L/1196,L,,,,U61071,0.7214,,undeciphered,true,false
L/1197,L,,,,U60FC5,0.6117,,undeciphered,true,false
L/1198,L,,,,U602A2,0.6175,,undeciphered,true,false
L/1199,L,,,,U61083,0.6582,䍜（罩）,deciphered,true,false
L/12,L,,,,U60594,0.6065,,undeciphered,true,false
L/120,L,,,,U60969,0.6291,风,deciphered,true,false
L/1200,L,,,,U61228,0.6597,,undeciphered,false,false
L/1201,L,,,,U6066D,0.664,焱,deciphered,true,false
L/1202,L,,,,U61686,0.6496,,undeciphered,false,false
L/1203,L,,,,U6009E,0.6365,,undeciphered,true,false
L/1204,L,,,,U60641,0.6837,山,deciphered,true,false
L/1205,L,,,,U60678,0.687,,undeciphered,true,false
L/1206,L,,,,U61526,0.6633,祖庚,deciphered,true,false
L/1207,L,,,,U60139,0.6412,并,deciphered,true,false
L/1208,L,,,,U6196A,0.6132,壺,deciphered,false,false
L/1209,L,,,,U60FBE,0.6339,残疑字,deciphered,false,false
L/121,L,,,,U60DAA,0.6015,,undeciphered,true,false
L/1210,L,,,,U60DAA,0.6064,,undeciphered,true,false
L/1211,L,,,,U61529,0.67,三祖庚,deciphered,true,false
L/1212,L,,,,U61108,0.6083,彔,deciphered,false,false
L/1213,L,,,,U6027C,0.686,,undeciphered,true,false
L/1214,L,,,,U60377,0.7731,,undeciphered,false,false
L/1215,L,,,,U60139,0.5992,并,deciphered,true,false
L/1216,L,,,,U6195D,0.6021,,undeciphered,false,false
L/1217,L,,,,U60FB4,0.6336,獻,deciphered,true,false
L/1218,L,,,,U60FC9,0.6574,,undeciphered,false,false
L/1219,L,,,,U60455,0.683,,undeciphered,true,false
L/122,L,,,,U60B72,0.6507,,undeciphered,true,false
L/1220,L,,,,U615AF,0.5937,三萬,deciphered,false,false
L/1221,L,,,,U60C40,0.7092,,undeciphered,true,false
L/1222,L,,,,U60F1F,0.7334,蛊,deciphered,false,false
L/1223,L,,,,U61B63,0.7622,周,deciphered,true,false
L/1224,L,,,,U60C40,0.718,,undeciphered,true,false
L/1225,L,,,,U61B09,0.7109,,undeciphered,true,false
L/1226,L,,,,U60FBE,0.6643,残疑字,deciphered,false,false
L/1227,L,,,,U60FA2,0.5708,鼎,deciphered,true,false
L/1228,L,,,,U60ADD,0.581,,undeciphered,true,false
L/1229,L,,,,U6093A,0.6772,陷,deciphered,true,false
L/123,L,,,,U60CDC,0.6575,行,deciphered,true,false
L/1230,L,,,,U61B60,0.5999,,undeciphered,true,false
L/1231,L,,,,U60FC5,0.6129,,undeciphered,true,false
L/1232,L,,,,U61529,0.6251,三祖庚,deciphered,true,false
L/1233,L,,,,U616E6,0.7171,良,deciphered,false,false
L/1234,L,,,,U60FE2,0.6733,斝,deciphered,true,false
L/1235,L,,,,U60FBE,0.654,残疑字,deciphered,false,false
L/1236,L,,,,U60125,0.5512,髦,deciphered,true,false
L/1237,L,,,,U60DAA,0.6174,,undeciphered,true,false
L/1238,L,,,,U60297,0.6738,,undeciphered,true,false
L/1239,L,,,,U602AC,0.6546,,undeciphered,true,false
L/124,L,,,,U60650,0.6727,,undeciphered,false,false
L/1240,L,,,,U61035,0.6172,,undeciphered,false,false
L/1241,L,,,,U60F1F,0.7038,蛊,deciphered,false,false
L/1242,L,,,,U6027C,0.7057,,undeciphered,true,false
L/1243,L,,,,U602AC,0.648,,undeciphered,true,false
L/1244,L,,,,U60FDE,0.7329,,undeciphered,true,false
L/1245,L,,,,U60FDE,0.7315,,undeciphered,true,false
L/1246,L,,,,U61B63,0.7875,周,deciphered,true,false
L/1247,L,,,,U60F86,0.6344,壺,deciphered,true,false
L/1248,L,,,,U61529,0.637,三祖庚,deciphered,true,false
L/1249,L,,,,U61686,0.6487,,undeciphered,false,false
L/125,L,,,,U616A6,0.5972,马,deciphered,false,false
L/1250,L,,,,U6196A,0.6485,壺,deciphered,false,false
L/1251,L,,,,U6136F,0.6764,,undeciphered,true,false
L/1252,L,,,,U6136F,0.694,,undeciphered,true,false
L/1253,L,,,,U60FD0,0.657,,undeciphered,true,false
L/1254,L,,,,U61834,0.6453,残疑字,deciphered,false,false
L/1255,L,,,,U60BE8,0.6687,娩,deciphered,true,false
L/1256,L,,,,U61142,0.773,,undeciphered,true,false
L/1257,L,,,,U60D55,0.6842,遠,deciphered,true,false
L/1258,L,,,,U6027C,0.7164,,undeciphered,true,false
L/1259,L,,,,U602AC,0.6609,,undeciphered,true,false
L/126,L,,,,U60FDC,0.6447,,undeciphered,false,false
L/1260,L,,,,U602AC,0.6377,,undeciphered,true,false
L/1261,L,,,,U61B63,0.7595,周,deciphered,true,false
L/1262,L,,,,U61B14,0.6402,,undeciphered,true,false
L/1263,L,,,,U61B14,0.6493,,undeciphered,true,false
L/1264,L,,,,U60801,0.6511,,undeciphered,true,false
L/1265,L,,,,U61B14,0.6588,,undeciphered,true,false
L/1266,L,,,,U6195D,0.6284,,undeciphered,false,false
L/1267,L,,,,U60349,0.6247,眉,deciphered,true,false
L/1268,L,,,,U60E9D,0.6453,,undeciphered,true,false
L/1269,L,,,,U61B60,0.5758,,undeciphered,true,false
L/127,L,,,,U608B2,0.6181,,undeciphered,true,false
L/1270,L,,,,U61723,0.657,四羌,deciphered,false,false
L/1271,L,,,,U601C2,0.7633,,undeciphered,false,false
L/1272,L,,,,U60DAA,0.6234,,undeciphered,true,false
L/1273,L,,,,U60262,0.6842,,undeciphered,true,false
L/1274,L,,,,U60AD9,0.639,涂,deciphered,true,false
L/1275,L,,,,U60420,0.7227,围,deciphered,true,false
L/1276,L,,,,U615FB,0.6422,外小臣,deciphered,false,false
L/1277,L,,,,U6136F,0.6677,,undeciphered,true,false
L/1278,L,,,,U6136F,0.663,,undeciphered,true,false
L/1279,L,,,,U60BE8,0.6661,娩,deciphered,true,false
L/128,L,,,,U61402,0.6983,小,deciphered,true,false
L/1280,L,,,,U606B5,0.6895,,undeciphered,true,false
L/1281,L,,,,U61218,0.7712,葬,deciphered,true,false
L/1282,L,,,,U60125,0.5535,髦,deciphered,true,false
L/1283,L,,,,U6113F,0.6292,智,deciphered,true,false
L/1284,L,,,,U6027C,0.6963,,undeciphered,true,false
L/1285,L,,,,U60D1A,0.7689,,undeciphered,false,false
L/1286,L,,,,U61234,0.5889,,undeciphered,true,false
L/1287,L,,,,U60F59,0.697,鑄,deciphered,true,false
L/1288,L,,,,U616CA,0.6064,疐,deciphered,true,false
L/1289,L,,,,U60B10,0.6281,豪,deciphered,false,false
L/129,L,,,,U608E6,0.6051,,undeciphered,false,false
L/1290,L,,,,U6157E,0.7909,一,deciphered,true,false
L/1291,L,,,,U60650,0.6042,,undeciphered,false,false
L/1292,L,,,,U60C1D,0.7192,,undeciphered,false,false
L/1293,L,,,,U60FB0,0.6541,,undeciphered,true,false
L/1294,L,,,,U61121,0.692,中,deciphered,true,false
L/1295,L,,,,U60FEC,0.6332,,undeciphered,true,false
L/1296,L,,,,U60EA6,0.6521,,undeciphered,true,false
L/1297,L,,,,U61121,0.6811,中,deciphered,true,false
L/1298,L,,,,U61910,0.6382,,undeciphered,false,false
L/1299,L,,,,U60678,0.6709,,undeciphered,true,false
L/13,L,,,,U6022E,0.6726,,undeciphered,false,false
L/130,L,,,,U60B2F,0.6632,向,deciphered,true,false
L/1300,L,,,,U619F4,0.6244,,undeciphered,false,false
L/1301,L,,,,U609D2,0.7604,,undeciphered,true,false
L/1302,L,,,,U60797,0.7006,,undeciphered,false,false
L/1303,L,,,,U614BD,0.6969,酉,deciphered,true,false
L/1304,L,,,,U60371,0.6808,,undeciphered,false,false
L/1305,L,,,,U60FEC,0.6517,,undeciphered,true,false
L/1306,L,,,,U60336,0.731,,undeciphered,false,false
L/1307,L,,,,U60797,0.6835,,undeciphered,false,false
L/1308,L,,,,U60C7C,0.7362,鬼日,deciphered,true,false
L/1309,L,,,,U61081,0.6797,䍜（罩）,deciphered,true,false
L/131,L,,,,U60650,0.6651,,undeciphered,false,false
L/1310,L,,,,U61035,0.602,,undeciphered,false,false
L/1311,L,,,,U61157,0.7914,,undeciphered,false,false
L/1312,L,,,,U60FDE,0.6498,,undeciphered,true,false
L/1313,L,,,,U60650,0.5908,,undeciphered,false,false
L/1314,L,,,,U60C3C,0.679,稼,deciphered,true,false
L/1315,L,,,,U607AB,0.68,春,deciphered,true,false
L/1316,L,,,,U60A2A,0.7211,,undeciphered,true,false
L/1317,L,,,,U60A2A,0.7313,,undeciphered,true,false
L/1318,L,,,,U60FA1,0.6585,甗,deciphered,true,false
L/1319,L,,,,U61AF7,0.6481,,undeciphered,true,false
L/132,L,,,,U60F4D,0.6724,,undeciphered,false,false
L/1320,L,,,,U61AF7,0.6451,,undeciphered,true,false
L/1321,L,,,,U6096B,0.7084,风,deciphered,true,false
L/1322,L,,,,U60FDC,0.6984,,undeciphered,false,false
L/1323,L,,,,U61AF7,0.6649,,undeciphered,true,false
L/1324,L,,,,U61AF7,0.6491,,undeciphered,true,false
L/1325,L,,,,U60787,0.7321,,undeciphered,false,false
L/1326,L,,,,U6088C,0.6762,迩,deciphered,false,false
L/1327,L,,,,U608FD,0.6339,,undeciphered,true,false
L/1328,L,,,,U60992,0.6266,,undeciphered,false,false
L/1329,L,,,,U60576,0.7272,迺,deciphered,true,false
L/133,L,,,,U61948,0.6317,姼,deciphered,true,false
L/1330,L,,,,U615A9,0.6518,四千,deciphered,false,false
L/1331,L,,,,U604E4,0.6594,寻,deciphered,true,false
L/1332,L,,,,U61764,0.672,十鬯,deciphered,false,false
L/1333,L,,,,U61104,0.6777,彔,deciphered,false,false
L/1334,L,,,,U6050E,0.6514,,undeciphered,true,false
L/1335,L,,,,U609E6,0.6811,龚,deciphered,true,false
L/1336,L,,,,U61349,0.69,,undeciphered,true,false
L/1337,L,,,,U6056B,0.6866,,undeciphered,true,false
L/1338,L,,,,U60650,0.5864,,undeciphered,false,false
L/1339,L,,,,U604F4,0.6075,叔,deciphered,true,false
L/134,L,,,,U602A3,0.6806,姛,deciphered,true,false
L/1340,L,,,,U616A6,0.6311,马,deciphered,false,false
L/1341,L,,,,U6014F,0.6174,髭,deciphered,true,false
L/1342,L,,,,U60C3C,0.6821,稼,deciphered,true,false
L/1343,L,,,,U60A2A,0.7269,,undeciphered,true,false
L/1344,L,,,,U600ED,0.704,,undeciphered,false,false
L/1345,L,,,,U60588,0.6673,示,deciphered,true,false
L/1346,L,,,,U60371,0.6731,,undeciphered,false,false
L/1347,L,,,,U60B19,0.6889,竽,deciphered,true,false
L/1348,L,,,,U6084D,0.7189,祗,deciphered,true,false
L/1349,L,,,,U60C1D,0.7281,,undeciphered,false,false
L/135,L,,,,U609C1,0.5961,,undeciphered,true,false
L/1350,L,,,,U61121,0.6605,中,deciphered,true,false
L/1351,L,,,,U60EA6,0.6644,,undeciphered,true,false
L/1352,L,,,,U618ED,0.7762,,undeciphered,false,false
L/1353,L,,,,U60FB1,0.72,员（圆）,deciphered,true,false
L/1354,L,,,,U60424,0.6696,韦,deciphered,true,false
L/1355,L,,,,U60EA6,0.6545,,undeciphered,true,false
L/1356,L,,,,U61910,0.6434,,undeciphered,false,false
L/1357,L,,,,U615B6,0.6797,祖癸,deciphered,false,false
L/1358,L,,,,U61839,0.7163,残疑字,deciphered,false,false
L/1359,L,,,,U6058B,0.6676,兮,deciphered,true,false
L/136,L,,,,U60688,0.6525,,undeciphered,false,false
L/1360,L,,,,U60FEC,0.633,,undeciphered,true,false
L/1361,L,,,,U610D6,0.6284,康,deciphered,false,false
L/1362,L,,,,U60C5F,0.725,㽙,deciphered,true,false
L/1363,L,,,,U6076A,0.6799,,undeciphered,true,false
L/1364,L,,,,U6195E,0.7046,,undeciphered,false,false
L/1365,L,,,,U61B6E,0.6692,残疑字,deciphered,false,false
L/1366,L,,,,U60C6F,0.7022,鬼,deciphered,true,false
L/1367,L,,,,U605EC,0.6315,,undeciphered,true,false
L/1368,L,,,,U6018A,0.7091,,undeciphered,false,false
L/1369,L,,,,U60866,0.7328,,undeciphered,true,false
L/137,L,,,,U61B18,0.6622,翌日,deciphered,false,false
L/1370,L,,,,U605EC,0.6411,,undeciphered,true,false
L/1371,L,,,,U6018A,0.7304,,undeciphered,false,false
L/1372,L,,,,U60265,0.7235,,undeciphered,false,false
L/1373,L,,,,U61104,0.6893,彔,deciphered,false,false
L/1374,L,,,,U6050E,0.6478,,undeciphered,true,false
L/1375,L,,,,U6085C,0.6292,牡,deciphered,true,false
L/1376,L,,,,U616E6,0.7164,良,deciphered,false,false
L/1377,L,,,,U61533,0.6542,祖戊,deciphered,true,false
L/1378,L,,,,U609E6,0.6963,龚,deciphered,true,false
L/1379,L,,,,U60BFE,0.7235,,undeciphered,true,false
L/138,L,,,,U603D9,0.7029,,undeciphered,true,false
L/1380,L,,,,U6071F,0.6534,,undeciphered,true,false
L/1381,L,,,,U6018A,0.7305,,undeciphered,false,false
L/1382,L,,,,U60C5F,0.7342,㽙,deciphered,true,false
L/1383,L,,,,U60547,0.7117,,undeciphered,false,false
L/1384,L,,,,U609EB,0.7171,,undeciphered,true,false
L/1385,L,,,,U6010A,0.6432,因,deciphered,true,false
L/1386,L,,,,U60A2B,0.635,,undeciphered,true,false
L/1387,L,,,,U60B19,0.6835,竽,deciphered,true,false
L/1388,L,,,,U60787,0.7374,,undeciphered,false,false
L/1389,L,,,,U60BCC,0.6641,,undeciphered,true,false
L/139,L,,,,U60487,0.7747,围,deciphered,true,false
L/1390,L,,,,U608DE,0.6784,,undeciphered,true,false
L/1391,L,,,,U61440,0.6818,,undeciphered,false,false
L/1392,L,,,,U61348,0.7346,,undeciphered,true,false
L/1393,L,,,,U60C1D,0.6894,,undeciphered,false,false
